Date,Category,Description,Amount
01-11-2023,Food,Groceries,1000.00
02-11-2023,Transportation,Public transport,400.00
03-11-2023,Entertainment,Movie tickets,500.00
04-11-2023,Healthcare,Doctor's appointment,1600.00
05-11-2023,Food,Dinner at restaurant,800.00
06-11-2023,Transportation,Gasoline,700.00
07-11-2023,Entertainment,Concert tickets,1200.00
08-11-2023,Shopping,Clothing,1400.00
09-11-2023,Food,Lunch at work,300.00
10-11-2023,Transportation,Uber ride,500.00
11-11-2023,Healthcare,Prescription medication,600.00
12-11-2023,Entertainment,Netflix subscription,300.00
13-11-2023,Shopping,Electronics,4000.00
14-11-2023,Food,Dining out,900.00
15-11-2023,Transportation,Train tickets,600.00
16-11-2023,Healthcare,Dentist appointment,2000.00
17-11-2023,Entertainment,Video games,1000.00
18-11-2023,Food,Takeout,500.00
19-11-2023,Transportation,Bicycle repair,800.00
20-11-2023,Shopping,Books,700.00
21-11-2023,Food,Snacks,200.00
22-11-2023,Healthcare,Eyeglasses,3000.00
23-11-2023,Transportation,Taxi ride,800.00
24-11-2023,Entertainment,Amusement park tickets,1500.00
25-11-2023,Food,Weekend brunch,600.00
26-11-2023,Transportation,Car maintenance,1200.00
27-11-2023,Shopping,Home appliances,5000.00
28-11-2023,Food,Takeaway dinner,400.00
29-11-2023,Healthcare,Health insurance,2400.00
30-11-2023,Entertainment,Streaming service,200.00


12-12-2023,ealthcare,edecine,000
12-12-2023,ealthcare,edecine,00
